料理名,エネルギーkcal,たんぱく質,総量,亜鉛,銅,セレン,レチノール当量,D,トコフェロールa,B1,B2,ナイアシン,B6,B12,C,食塩相当量
春野菜の煮物,19.975,1.7,0,0.1,0,0.66,0,0.1,0,0.008,0.0182,0.2,0.01135,0.086,0,1.1
春雨サラダ,2.13,0.2,0,0,0,0.331,0,0,0,0.0015,0.0051,0,0.0051,0.003,0,0.5
春雨スープ,2.13,0.2,0,0,0,0.335,0,0,0,0.0015,0.0051,0,0.0051,0.003,0,0.9
枝豆ごはん,26.8,2.3,0.9,0.3,0.07,0.008,4.8,0,0.1,0.048,0.026,0.2,0.016,0,3,0.8
枝豆サラダ,19.417,1.7,0.7,0.1,0.07,0.42,8.003,0,0.2,0.03247,0.02309,0.1,0.02332,0.002,4.3,0.3
根菜のすまし汁,131.19,4.5,7.8,1.1,0.29,4.28,529.83,0,1.2,0.1615,0.1089,1.8,0.2492,0.048,28.68,2.2
根菜のリゾット,734.64,13.5,3.7,2.8,0.4,5.64,265.02,0.2,1.5,0.26485,0.1054,3,0.3181,0.153,36.85,1.5
水菜とトマトのサラダ,296.5,11.7,6.2,1,0.23,4.605,238.5,1.6,8.5,0.283,0.237,7.8,0.485,0.8,88.5,1
沢煮椀,36.4,1.6,1.9,0.3,0.04,0.962,75.02,0.1,0.1,0.0478,0.0535,0.9,0.0488,0.006,1.89,1.1
油揚げの卵とじ,239.63,14.6,0.8,1.6,0.12,20.66,83.55,1,1,0.0615,0.2647,0.4,0.0938,0.501,2.1,1.3
油揚げの炒め物,412.83,17.1,3.8,1.9,0.16,6.12,6.84,0,2.7,0.108,0.0942,0.6,0.2418,0.012,63.18,1.7
油揚げ丼,761.77,21.3,2.4,3.3,0.39,23.16,95.9,1,2.5,0.144,0.3097,1,0.1868,0.501,5.8,1.1
洋風おでん,17.3,1,1.7,0.1,0.03,0.006,182,0,1.5,0.015,0.025,0.1,0.061,0,7.7,0.6
海鮮あんかけ炒飯,264.73,42.3,0,4.2,0.7,38.93,96,1,4.5,0.112,0.3431,5.4,0.2116,36.048,0.5,1.7
温泉卵,166.1,13.5,0,1.4,0.09,35.2,165,2,1.1,0.066,0.473,0.1,0.088,0.99,0,0.4
炊き込みごはん,253.46,5.6,2.1,1.2,0.2,2.212,144,0.7,0.2,0.0826,0.0938,2.1,0.091,0.002,1.2,1.6
炒り豆腐,723.6,42.2,2.6,7,0.57,40.4,353.15,1.1,3.4,0.3487,0.5367,4.4,0.4862,1.793,5.06,3.3
焼きうどん,409.26,22.7,2,3.4,0.16,5.32,5.05,0.2,0.6,0.1205,0.2104,5.1,0.4236,1.302,2.9,3.4
焼きおにぎり,158.39,3.4,0.2,0.7,0.08,2.78,0,0,0,0.025,0.0386,0.4,0.0501,0.018,0,2.6
焼きなす,62.31,5.2,4.8,0.6,0.14,0.66,18,0.1,0.6,0.1224,0.1353,2.3,0.1341,0.663,8.64,0.9
焼豚,1674.48,50.8,1.9,6.5,0.18,46.99,37.2,1.5,1.6,1.6093,0.5413,15.2,1.1051,1.572,12.24,10.7
照り焼きチキン,308.44,21.9,0,2.1,0.06,22.96,16,0.2,0.6,0.138,0.2512,6,0.3748,0.336,3,5.4
煮卵,589.68,42.9,0,4.6,0.22,94.63,330,4,2.2,0.22835,1.278,2.9,0.5035,2.233,0,30.3
煮込みハンバーグ,1251.45,53.4,7.1,12.6,0.71,45.975,172.56,1.5,4.9,0.4092,0.8342,12.9,1.0421,3.707,21.09,10.4
牛ごぼう,806.05,27.2,5.9,5.2,0.36,9.2,7.82,0.2,1.1,0.1684,0.3359,6.3,0.7199,1.611,7.6,9.1
牛丼,637.64,27.8,1.6,5.6,0.35,4.95,5,0.2,0.5,0.1531,0.2503,5.7,0.5988,1.518,4.76,2.7
牛玉丼,814.13,30.8,3,5.5,0.41,21.97,346.75,1.2,1.1,0.1998,0.4662,5.2,0.6009,1.707,8.82,2
玉子スープ,93.88,7.3,0.8,0.8,0.05,17.6,84.6,1,0.7,0.0498,0.2566,0.3,0.0827,0.54,4.2,0.2
生春巻き,240.89,23.5,2.5,1,0.12,18.96,24.4,0,0.7,0.1614,0.1456,10.6,0.6185,0.086,10.42,0.1
白菜ごま酢あえ,1.42,0.2,0,0,0,0.22,0,0,0,0.001,0.0034,0,0.0034,0.002,0,0.3
白菜と豚肉の重ね煮,314.57,20.4,4.3,3.4,0.19,2.42,26,0.3,0.9,0.72295,0.3262,5.6,0.5591,0.527,55.8,1.6
